21,MM-BBALRT,,Dear Customer,, Your total usage already Exceeds 80% of Fair Usage Limit (45 GB) of your existing Plan DSL_UNLTD_XPRESS_COMBO_949 on 25620052. As per plan the dowload speed has been rationally reduced for the rest of current month. You May Upgrade To Higher plan OR Apply For Data TOP-UP. To Apply,, Call 1500 Or Visit CSC. MTNL-Mumbai.,,2016-10-17 15:43:08+00
21,MM-BBALRT,,Dear Customer,, Your total usage already Exceeds Fair Usage Limit (45 GB) of your existing Plan DSL_UNLTD_XPRESS_COMBO_949 on 25620052. As per plan the dowload speed has been rationally reduced for the rest of current month. You May Upgrade To Higher plan OR Apply For Data TOP-UP. To Apply,, Call 1500 Or Visit CSC. MTNL-Mumbai.,,2016-10-18 15:44:39+00
